City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
16,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
19,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
20,Cockburn Town,TC,81.19,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
23,Georgetown,MY,77.9,moderate rain,5.4112,100.3354,Cititel Penang
25,Jaynagar-Majilpur,IN,81.84,scattered clouds,22.1758,88.4178,Joychanditala Sarbojonin Durga Utsav Committee
26,Tura,IN,75.94,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
30,Iralaya,HN,81.79,overcast clouds,15.0,-83.2333,Iglesia morava renovada
31,Mao,ES,77.56,few clouds,39.8885,4.2658,ARTIEM Capri
37,Shingu,JP,75.65,heavy intensity rain,33.7333,135.9833,Shingu UI Hotel
40,Jamestown,US,84.06,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
58,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
59,Zhuzhou,CN,75.67,overcast clouds,27.8333,113.15,Feifan Chengpin Hotel Shanmutang
60,Mountain Home,US,81.88,few clouds,43.133,-115.6912,Mountain Home Inn
62,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
63,Auki,SB,79.5,scattered clouds,-8.7676,160.7034,Auki Motel
64,Shache,CN,81.72,clear sky,38.4167,77.2406,Delong Hotel
65,Pacifica,US,80.24,broken clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
67,Atuona,PF,77.4,scattered clouds,-9.8,-139.0333,Villa Enata
72,Rosetta,EG,76.91,clear sky,31.4044,30.4164,Green Valley
73,Manokwari,ID,77.25,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
85,Hami,CN,78.26,clear sky,42.8,93.45,Laoyutang Resort
90,Eyl,SO,79.14,few clouds,7.9803,49.8164,Amiin Hotel
93,Meulaboh,ID,76.32,overcast clouds,4.1363,96.1285,Kost Pria
99,Butaritari,KI,82.9,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
100,Cayenne,GF,84.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
105,Katsuura,JP,75.22,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
110,Namatanai,PG,80.38,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
113,Tuktoyaktuk,CA,82.4,few clouds,69.4541,-133.0374,End of The Road Ltd.
114,Kota Kinabalu,MY,75.18,few clouds,5.9749,116.0724,Gaya Centre Hotel
122,Epe,NG,76.06,overcast clouds,6.5841,3.9834,MAGVILLE HOTEL
127,College,US,78.58,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
131,Hilo,US,84.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
143,Port Moresby,PG,75.09,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
146,Sete,FR,82.26,few clouds,43.4018,3.6966,Hotel De Paris Sète
148,Corrientes,AR,84.16,broken clouds,-27.4806,-58.8341,Gran Hotel Guaraní
152,Honiara,SB,80.73,scattered clouds,-9.4333,159.95,Heritage Park Hotel
154,Pacific Grove,US,76.55,broken clouds,36.6177,-121.9166,Lovers Point Inn
157,Tual,ID,80.29,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
170,Sao Filipe,CV,75.09,few clouds,14.8961,-24.4956,Hotel Xaguate
172,Amahai,ID,76.75,heavy intensity rain,-3.3333,128.9167,HOTEL ISABELA
174,Lorengau,PG,80.89,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
