City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Brae,GB,60.3964,-1.353,50.99,84,99,16.49,light rain
1,Ponta Do Sol,PT,32.6667,-17.1,70.0,73,60,3.47,broken clouds
2,Rikitea,PF,-23.1203,-134.9692,74.82,69,7,4.32,clear sky
3,Geraldton,AU,-28.7667,114.6,50.41,53,75,16.11,broken clouds
4,Talnakh,RU,69.4865,88.3972,47.21,65,7,10.83,clear sky
5,Lagoa,PT,39.05,-27.9833,64.33,68,100,12.44,overcast clouds
6,Kargil,IN,34.5667,76.1,63.95,56,61,3.27,broken clouds
7,Thompson,CA,55.7435,-97.8558,68.65,27,90,6.06,overcast clouds
8,Macia,MZ,-25.0269,33.0989,62.94,89,0,5.17,clear sky
9,Troitsko-Pechorsk,RU,62.7084,56.1964,51.04,66,87,3.85,overcast clouds
10,Cape Town,ZA,-33.9258,18.4232,58.37,77,0,10.0,clear sky
11,Ulladulla,AU,-35.35,150.4667,53.69,82,100,18.07,overcast clouds
12,Mataura,NZ,-46.1927,168.8643,44.47,74,40,7.16,scattered clouds
13,Olafsvik,IS,64.8945,-23.7142,49.46,75,87,6.24,overcast clouds
14,Kalengwa,ZM,-13.4659,25.0027,57.02,57,1,5.55,clear sky
15,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,74.8,97,100,3.11,light rain
16,Kapaa,US,22.0752,-159.319,82.38,74,40,19.57,scattered clouds
17,Kiruna,SE,67.8557,20.2251,63.52,63,75,11.5,light rain
18,San Andres,CO,12.5847,-81.7006,86.02,79,75,9.22,broken clouds
19,Puerto Ayora,EC,-0.7393,-90.3518,76.96,87,88,5.99,overcast clouds
20,Cockburn Town,TC,21.4612,-71.1419,81.19,85,100,18.9,overcast clouds
21,Albany,US,42.6001,-73.9662,82.63,32,56,1.99,broken clouds
22,Port Alfred,ZA,-33.5906,26.891,62.87,88,46,12.35,scattered clouds
23,Georgetown,MY,5.4112,100.3354,77.9,88,40,0.0,moderate rain
